t,Unnamed: 0,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,geometry,TIMEDELTA,speed,prev_pt,direction,turning_angle,state
2020-06-22 12:55:00,46211,2020-21,A69-9006-7849,6/22/2020 12:55,3637.67,6497.71,2.729,34.41259,-119.564026,4,3.2,,,2.7287,,In_A In_B Off_A Off_B,In_A In_B Off_A Off_B,POINT (-119.564026 34.41259),0 days 00:01:00,1.5051563899980007,POINT (-119.564901 34.41296),117.13769990869747,-74.26132554164194,1
2020-06-22 12:56:00,42602,2020-21,A69-9006-7849,6/22/2020 12:56,3665.78,6527.85,1.819,34.412861,-119.563721,1,3.8,,,1.8191,,In_A In_B Off_A,In_A In_B Off_A,POINT (-119.563721 34.412861),0 days 00:01:00,0.6851570756898077,POINT (-119.564026 34.41259),42.87637436705552,88.55577772188816,1
2020-06-22 12:57:00,47663,2020-21,A69-9006-7849,6/22/2020 12:57,3741.46,6461.25,3.184,34.412261,-119.562897,6,2.9,,,3.1835,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.562897 34.412261),0 days 00:01:00,1.6806733537875036,POINT (-119.563721 34.412861),131.43215208894367,6.661313765823594,1
2020-06-22 12:59:00,44448,2020-21,A69-9006-7849,6/22/2020 12:59,3791.56,6405.67,2.274,34.41176,-119.562352,3,3.2,,,2.2739,,In_A Off_A Off_B Off_C OS1,In_A Off_A Off_B Off_C OS1,POINT (-119.562352 34.41176),0 days 00:02:00,0.6235660547852089,POINT (-119.562897 34.412261),138.09346585476726,-50.83419354873719,1
2020-06-22 13:00:00,45073,2020-21,A69-9006-7849,6/22/2020 13:00,3863.72,6409.15,2.426,34.411791,-119.561567,4,3.2,,,2.4255,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B,POINT (-119.561567 34.411791),0 days 00:01:00,1.2042021614194178,POINT (-119.562352 34.41176),87.25927230603008,64.29130581188667,1
2020-06-22 13:01:00,47183,2020-21,A69-9006-7849,6/22/2020 13:01,3902.28,6338.33,3.032,34.411153,-119.561148,3,3.0,,,3.0319,,In_B In_C Off_A Off_B OS1,In_B In_C Off_A Off_B OS1,POINT (-119.561148 34.411153),0 days 00:01:00,1.3429614462131785,POINT (-119.561567 34.411791),151.55057811791676,48.48650088450385,1
2020-06-22 13:02:00,48139,2020-21,A69-9006-7849,6/22/2020 13:02,3883.32,6286.63,3.335,34.410687,-119.561354,12,2.5,,,3.3351,,In_A In_B Off_A Off_B Off_C OS1,In_A In_B Off_A Off_B Off_C OS1,POINT (-119.561354 34.410687),0 days 00:01:00,0.9175583913345534,POINT (-119.561148 34.411153),200.0370790024206,124.74133396173046,1
2020-06-22 13:04:00,47664,2020-21,A69-9006-7849,6/22/2020 13:04,3827.14,6365.87,3.184,34.411401,-119.561965,7,2.8,,,3.1835,,In_A In_B In_C Off_A Off_B OS1,In_A In_B In_C Off_A Off_B,POINT (-119.561965 34.411401),0 days 00:02:00,0.8091812420592829,POINT (-119.561354 34.410687),324.7784129641511,104.27570029125599,1
2020-06-22 13:06:00,43265,2020-21,A69-9006-7849,6/22/2020 13:06,3916.21,6399.73,1.971,34.411707,-119.560996,1,5.6,,,1.9707,,In_B Off_A Off_B OS1,In_B Off_A Off_B,POINT (-119.560996 34.411707),0 days 00:02:00,0.7944553067472548,POINT (-119.561965 34.411401),69.05411325540706,65.17638252609734,1
2020-06-22 13:07:00,46700,2020-21,A69-9006-7849,6/22/2020 13:07,3992.4,6325.96,2.88,34.411042,-119.560168,7,3.0,,,2.8803,,In_B Off_A Off_B Off_C OS1,In_B Off_A Off_B Off_C OS1,POINT (-119.560168 34.411042),0 days 00:01:00,1.7667149666793134,POINT (-119.560996 34.411707),134.23049578150437,38.10655321795331,1
