,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
60976,In_B,A69-1601-62002,5/21/2020 10:26,4184.59,6246.24,6.096,34.410323,-119.558077,5,5.3,7.5,,,,In_A In_B Off_A Off_B Off_C OS1,In_A Off_A Off_B Off_C OS1
60989,Ref01,A69-1601-65105,5/21/2020 10:33,4715.69,4979.5,9.144,34.398904,-119.5523,9,4.0,1.0,,,,In_C In_D In_F Off_D Off_E Off_F OS2 PB,In_D In_F Off_D Off_E Off_F OS2
60990,In_F,A69-1601-62000,5/21/2020 10:33,5596.84,4868.91,6.096,34.397907,-119.542717,1,31.3,5.4,,,,In_E In_F Off_E Off_F,In_E Off_E Off_F
60991,Off_E,A69-1601-62004,5/21/2020 10:33,4785.59,5096.5,6.096,34.399959,-119.55154,7,3.1,0.3,,,,In_D In_F Off_D Off_E Off_F PB,In_D In_F Off_D Off_F PB
60992,Off_C,A69-1601-62644,5/21/2020 10:34,4204.8,5691.86,7.62,34.405326,-119.557857,1,5.5,3.9,,,,In_B Off_B Off_C OS2,In_B Off_B OS2
60995,In_A,A69-1601-62649,5/21/2020 10:36,3497.05,6593.61,3.657,34.413454,-119.565556,1,20.8,3.9,,,,In_A In_B Off_A Off_B,In_B Off_A Off_B
60997,In_B,A69-1601-62002,5/21/2020 10:36,4187.44,6250.23,6.096,34.410359,-119.558046,3,3.9,2.7,,,,In_A In_B In_C Off_B Off_C,In_A In_C Off_B Off_C
61001,In_D,A69-1601-62005,5/21/2020 10:39,5023.41,5462.87,6.705,34.403262,-119.548953,1,13.5,4.0,,,,In_D In_E Off_E Off_F,In_E Off_E Off_F
61007,Ref01,A69-1601-65105,5/21/2020 10:42,4716.08,4979.99,9.144,34.398909,-119.552296,8,3.8,1.6,,,,In_C In_D In_E Off_B Off_C Off_D Off_E Off_F OS2 PB,In_D Off_C Off_D Off_E Off_F OS2
61012,Off_C,A69-1601-62644,5/21/2020 10:44,4200.91,5687.6,7.62,34.405287,-119.557899,9,3.0,1.9,,,,In_B In_C Off_B Off_C Off_D OS2,In_B In_C Off_B Off_D OS2
61013,Off_E,A69-1601-62004,5/21/2020 10:44,4785.99,5096.84,6.096,34.399962,-119.551536,9,3.1,0.8,,,,In_D In_E Off_D Off_E Off_F OS2 PB,In_D In_E Off_D Off_F OS2
61017,In_B,A69-1601-62002,5/21/2020 10:46,4186.13,6252.63,6.096,34.410381,-119.55806,3,7.5,2.1,,,,In_B In_C Off_B Off_C Off_D,In_C Off_B Off_C Off_D
61024,Ref01,A69-1601-65105,5/21/2020 10:51,4715.66,4978.89,9.144,34.398899,-119.5523,6,4.7,0.7,,,,In_C In_D In_E In_F Off_C Off_D Off_E Off_F OS2 PB,In_F Off_C Off_D Off_E Off_F OS2
61029,Off_E,A69-1601-62004,5/21/2020 10:54,4783.71,5096.81,6.096,34.399962,-119.55156,1,13.1,1.8,,,,In_E Off_E Off_F PB,In_E Off_F PB
