,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
52,2020-20,A69-9006-7853,5/21/2020 21:35,4092.53,6003.57,-0.607,34.408135,-119.559078,8,2.5,,,-0.6065,,In_B In_C Off_B Off_C OS1,In_B In_C Off_B Off_C OS1
53,2020-20,A69-9006-7853,5/21/2020 21:37,4121.87,5972.59,-0.607,34.407856,-119.558759,4,2.8,,,-0.6065,,In_B Off_B Off_C OS1,In_B Off_B Off_C OS1
54,2020-20,A69-9006-7853,5/21/2020 21:38,4183.43,5986.2,-0.607,34.407979,-119.55809,9,2.5,,,-0.6065,,In_B In_C Off_B Off_C OS1,In_B In_C Off_B Off_C OS1
55,2020-20,A69-9006-7853,5/21/2020 21:40,4240.71,5966.74,-0.607,34.407804,-119.557466,1,3.1,,,-0.6065,,In_B In_C Off_C,In_B In_C Off_C
56,2020-20,A69-9006-7853,5/21/2020 21:41,4294.45,5945.89,-0.607,34.407616,-119.556882,1,2.9,,,-0.6065,,In_B In_C Off_C,In_B In_C Off_C
57,2020-20,A69-9006-7853,5/21/2020 21:42,4336.54,5921.04,-0.607,34.407392,-119.556424,1,5.1,,,-0.6065,,In_C Off_C Off_D,In_C Off_C Off_D
58,2020-20,A69-9006-7853,5/21/2020 21:43,4368.31,5894.81,-0.607,34.407155,-119.556079,1,4.3,,,-0.6065,,In_C Off_C Off_D,In_C Off_C Off_D
59,2020-20,A69-9006-7853,5/21/2020 21:45,4439.63,5819.56,-0.607,34.406477,-119.555303,1,3.4,,,-0.6065,,In_C Off_C Off_D,In_C Off_C Off_D
60,2020-20,A69-9006-7853,5/21/2020 21:48,4479.46,5826.92,-0.607,34.406543,-119.55487,7,2.6,,,-0.6065,,In_B In_C Off_C Off_D OS2,In_B In_C Off_C Off_D OS2
61,2020-20,A69-9006-7853,5/21/2020 21:50,4542.44,5812.65,-0.607,34.406415,-119.554185,7,2.6,,,-0.6065,,In_B In_C Off_C Off_D OS2,In_B In_C Off_C Off_D OS2
62,2020-20,A69-9006-7853,5/21/2020 21:51,4602.06,5793.15,-0.607,34.406239,-119.553536,1,3.5,,,-0.6065,,In_C Off_D OS2,In_C Off_D OS2
63,2020-20,A69-9006-7853,5/21/2020 21:52,4653.12,5772.62,-0.607,34.406054,-119.552981,2,3.2,,,-0.6065,,In_C In_D Off_D OS2,In_C In_D Off_D OS2
64,2020-20,A69-9006-7853,5/21/2020 21:53,4692.34,5787.74,-0.607,34.40619,-119.552554,7,2.9,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
65,2020-20,A69-9006-7853,5/21/2020 21:54,4727.39,5786.08,-0.607,34.406175,-119.552173,1,3.9,,,-0.6065,,In_C In_D Off_D OS2,In_C In_D Off_D
66,2020-20,A69-9006-7853,5/21/2020 21:55,4764.36,5780.12,-0.607,34.406122,-119.551771,6,3.4,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
67,2020-20,A69-9006-7853,5/21/2020 21:56,4832.14,5757.34,-0.607,34.405916,-119.551034,1,4.3,,,-0.6065,,In_C In_D Off_D OS2,In_C In_D Off_D
68,2020-20,A69-9006-7853,5/21/2020 21:57,4868.16,5764.03,-0.607,34.405976,-119.550642,5,4.0,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
69,2020-20,A69-9006-7853,5/21/2020 21:59,4822.53,5775.95,-0.607,34.406084,-119.551138,5,3.7,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
70,2020-20,A69-9006-7853,5/21/2020 22:00,4783.06,5788.91,-0.607,34.406201,-119.551568,6,3.5,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
